ID,yearID,lgID,teamID,franchID,divID,div_ID,teamRank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2055,1990,AL,CLE,CLE,E,1,4,162,81,77,85,N,NULL,N,N,732,5485,1465,266,41,110,458,836,107,52,29,61,737,676,4.26,12,10,47,4282,1491,163,518,860,117,146,0.981,Cleveland Indians,Cleveland Stadium,1225240,100,100,CLE,CLE,CLE
2081,1991,AL,CLE,CLE,E,1,7,162,82,57,105,N,NULL,N,N,576,5470,1390,236,26,79,449,888,84,58,43,46,759,678,4.23,22,8,33,4324,1551,110,441,862,149,150,0.976,Cleveland Indians,Cleveland Stadium,1051863,101,102,CLE,CLE,CLE
2107,1992,AL,CLE,CLE,E,1,4,162,81,76,86,N,NULL,N,N,674,5620,1495,227,24,127,448,885,144,67,45,44,746,671,4.11,13,7,46,4410,1507,159,566,890,141,176,0.978,Cleveland Indians,Cleveland Stadium,1224094,99,100,CLE,CLE,CLE
2133,1993,AL,CLE,CLE,E,1,6,162,81,76,86,N,NULL,N,N,790,5619,1547,264,31,141,488,843,159,55,49,72,813,735,4.58,7,8,45,4337,1591,182,591,888,148,174,0.976,Cleveland Indians,Cleveland Stadium,2177908,100,101,CLE,CLE,CLE
2161,1994,AL,CLE,CLE,C,3,2,113,51,66,47,NULL,NULL,NULL,NULL,679,4022,1165,240,20,167,382,629,131,48,18,38,562,494,4.36,17,5,21,3056,1097,94,404,666,90,119,0.98,Cleveland Indians,Jacobs Field,1995174,99,97,CLE,CLE,CLE
2189,1995,AL,CLE,CLE,C,3,1,144,72,100,44,Y,N,Y,N,840,5028,1461,279,23,207,542,766,132,53,35,48,607,554,3.83,10,10,50,3903,1261,135,445,926,101,142,0.982,Cleveland Indians,Jacobs Field,2842745,101,99,CLE,CLE,CLE
2217,1996,AL,CLE,CLE,C,3,1,161,80,99,62,Y,N,N,N,952,5681,1665,335,23,218,671,844,160,50,43,57,769,700,4.34,13,9,46,4357,1530,173,484,1033,124,156,0.98,Cleveland Indians,Jacobs Field,3318174,99,98,CLE,CLE,CLE
2245,1997,AL,CLE,CLE,C,3,1,161,81,86,75,Y,N,Y,N,868,5556,1589,301,22,220,617,955,118,59,37,49,815,749,4.73,4,3,39,4277,1528,181,575,1036,106,159,0.983,Cleveland Indians,Jacobs Field,3404750,103,102,CLE,CLE,CLE
2274,1998,AL,CLE,CLE,C,3,1,162,81,89,73,Y,N,N,N,850,5616,1530,334,30,198,630,1061,143,60,41,59,779,721,4.44,9,4,47,4380,1552,171,563,1037,110,146,0.982,Cleveland Indians,Jacobs Field,3467299,103,102,CLE,CLE,CLE
2304,1999,AL,CLE,CLE,C,3,1,162,81,97,65,Y,N,N,N,1009,5634,1629,309,32,209,743,1099,147,50,55,67,860,788,4.89,3,6,46,4351,1503,197,634,1120,106,154,0.983,Cleveland Indians,Jacobs Field,3468456,104,103,CLE,CLE,CLE
